Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.001
gamma: 0.99
policy_type: fixed_actor_critic
num_players: 2
max_hand_size: 7
card_embed_dim: 16
hidden_dim: 64
entropy_coefficient: 0.02
value_loss_coefficient: 0.5
==================================================
Episode 100: Reward=222.30, Length=32, Bosses=4, WinRate=100.00%
Episode 200: Reward=33.40, Length=11, Bosses=1, WinRate=100.00%
Episode 300: Reward=164.70, Length=21, Bosses=4, WinRate=99.00%
Episode 400: Reward=81.30, Length=20, Bosses=2, WinRate=100.00%
Episode 500: Reward=58.40, Length=10, Bosses=1, WinRate=100.00%
Episode 600: Reward=87.90, Length=20, Bosses=2, WinRate=100.00%
Episode 700: Reward=122.70, Length=21, Bosses=3, WinRate=100.00%
Episode 800: Reward=79.00, Length=12, Bosses=2, WinRate=100.00%
Episode 900: Reward=129.90, Length=17, Bosses=3, WinRate=100.00%
Episode 1000: Reward=55.80, Length=13, Bosses=1, WinRate=99.00%
Episode 1100: Reward=67.10, Length=10, Bosses=2, WinRate=99.00%
Episode 1200: Reward=121.90, Length=20, Bosses=3, WinRate=100.00%
Episode 1300: Reward=73.10, Length=14, Bosses=2, WinRate=100.00%
Episode 1400: Reward=62.10, Length=8, Bosses=2, WinRate=100.00%
Episode 1500: Reward=121.70, Length=21, Bosses=3, WinRate=100.00%
Episode 1600: Reward=38.40, Length=7, Bosses=1, WinRate=100.00%
Episode 1700: Reward=209.10, Length=27, Bosses=5, WinRate=98.00%
Episode 1800: Reward=10.50, Length=6, Bosses=0, WinRate=100.00%
Episode 1900: Reward=82.00, Length=15, Bosses=2, WinRate=100.00%
Episode 2000: Reward=173.90, Length=21, Bosses=4, WinRate=100.00%
Episode 2100: Reward=157.60, Length=22, Bosses=4, WinRate=100.00%
Episode 2200: Reward=50.10, Length=10, Bosses=1, WinRate=99.00%
Episode 2300: Reward=49.80, Length=15, Bosses=1, WinRate=100.00%
Episode 2400: Reward=71.00, Length=13, Bosses=1, WinRate=100.00%
Episode 2500: Reward=88.30, Length=16, Bosses=2, WinRate=100.00%
Episode 2600: Reward=74.90, Length=13, Bosses=2, WinRate=99.00%
Episode 2700: Reward=122.10, Length=13, Bosses=3, WinRate=100.00%
Episode 2800: Reward=105.20, Length=23, Bosses=2, WinRate=100.00%
Episode 2900: Reward=186.90, Length=22, Bosses=4, WinRate=100.00%
Episode 3000: Reward=184.20, Length=22, Bosses=4, WinRate=100.00%
Episode 3100: Reward=133.30, Length=23, Bosses=3, WinRate=100.00%
Episode 3200: Reward=86.70, Length=18, Bosses=2, WinRate=100.00%
