Training log started
==================================================
EXPERIMENT CONFIGURATION
==================================================
num_episodes: 50000
learning_rate: 0.0015
gamma: 0.95
policy_type: card_aware
num_players: 4
max_hand_size: 5
card_embed_dim: 12
hidden_dim: 32
==================================================
Episode 200: Reward=28.13, Length=14, Bosses=2, WinRate=70.00%
Episode 400: Reward=75.32, Length=17, Bosses=4, WinRate=64.00%
Episode 600: Reward=-16.85, Length=2, Bosses=0, WinRate=63.00%
Episode 800: Reward=16.60, Length=11, Bosses=1, WinRate=76.00%
Episode 1000: Reward=30.17, Length=11, Bosses=2, WinRate=75.00%
Episode 1200: Reward=13.27, Length=12, Bosses=1, WinRate=89.00%
Episode 1400: Reward=38.28, Length=14, Bosses=2, WinRate=95.00%
Episode 1600: Reward=75.33, Length=18, Bosses=3, WinRate=89.00%
Episode 1800: Reward=30.31, Length=12, Bosses=2, WinRate=92.00%
Episode 2000: Reward=30.70, Length=13, Bosses=2, WinRate=93.00%
Episode 2200: Reward=-6.98, Length=4, Bosses=0, WinRate=93.00%
Episode 2400: Reward=97.73, Length=27, Bosses=4, WinRate=97.00%
Episode 2600: Reward=20.88, Length=10, Bosses=1, WinRate=93.00%
Episode 2800: Reward=86.30, Length=22, Bosses=3, WinRate=97.00%
Episode 3000: Reward=47.08, Length=19, Bosses=2, WinRate=92.00%
Episode 3200: Reward=55.77, Length=14, Bosses=3, WinRate=90.00%
Episode 3400: Reward=19.95, Length=6, Bosses=2, WinRate=98.00%
Episode 3600: Reward=57.13, Length=24, Bosses=2, WinRate=96.00%
Episode 3800: Reward=31.46, Length=16, Bosses=2, WinRate=94.00%
Episode 4000: Reward=48.04, Length=25, Bosses=2, WinRate=97.00%
Episode 4200: Reward=30.50, Length=11, Bosses=2, WinRate=95.00%
Episode 4400: Reward=16.15, Length=12, Bosses=1, WinRate=99.00%
Episode 4600: Reward=56.42, Length=17, Bosses=3, WinRate=96.00%
Episode 4800: Reward=139.47, Length=36, Bosses=5, WinRate=96.00%
Episode 5000: Reward=-8.85, Length=2, Bosses=0, WinRate=93.00%
Episode 5200: Reward=11.50, Length=10, Bosses=1, WinRate=94.00%
Episode 5400: Reward=32.53, Length=16, Bosses=2, WinRate=97.00%
Episode 5600: Reward=108.31, Length=26, Bosses=4, WinRate=94.00%
Episode 5800: Reward=13.41, Length=7, Bosses=1, WinRate=98.00%
Episode 6000: Reward=63.53, Length=16, Bosses=3, WinRate=95.00%
Episode 6200: Reward=12.30, Length=10, Bosses=1, WinRate=97.00%
Episode 6400: Reward=32.12, Length=11, Bosses=2, WinRate=98.00%
Episode 6600: Reward=66.19, Length=22, Bosses=3, WinRate=96.00%
Episode 6800: Reward=36.27, Length=12, Bosses=2, WinRate=98.00%
Episode 7000: Reward=61.34, Length=18, Bosses=3, WinRate=99.00%
Episode 7200: Reward=72.00, Length=25, Bosses=3, WinRate=96.00%
Episode 7400: Reward=27.02, Length=13, Bosses=1, WinRate=97.00%
Episode 7600: Reward=56.52, Length=24, Bosses=2, WinRate=97.00%
Episode 7800: Reward=64.62, Length=17, Bosses=3, WinRate=93.00%
Episode 8000: Reward=1.53, Length=9, Bosses=0, WinRate=94.00%
Episode 8200: Reward=87.01, Length=22, Bosses=4, WinRate=94.00%
Episode 8400: Reward=97.75, Length=25, Bosses=4, WinRate=99.00%
Episode 8600: Reward=27.62, Length=10, Bosses=2, WinRate=100.00%
Episode 8800: Reward=108.42, Length=31, Bosses=4, WinRate=95.00%
Episode 9000: Reward=86.50, Length=24, Bosses=4, WinRate=99.00%
Episode 9200: Reward=76.28, Length=16, Bosses=4, WinRate=97.00%
Episode 9400: Reward=73.88, Length=20, Bosses=3, WinRate=99.00%
Episode 9600: Reward=38.82, Length=21, Bosses=2, WinRate=99.00%
Episode 9800: Reward=29.70, Length=11, Bosses=2, WinRate=99.00%
Episode 10000: Reward=107.11, Length=30, Bosses=4, WinRate=97.00%
Episode 10200: Reward=25.79, Length=10, Bosses=2, WinRate=98.00%
Episode 10400: Reward=31.87, Length=16, Bosses=1, WinRate=99.00%
Episode 10600: Reward=37.84, Length=16, Bosses=2, WinRate=99.00%
Episode 10800: Reward=20.48, Length=10, Bosses=1, WinRate=97.00%
Episode 11000: Reward=89.04, Length=25, Bosses=4, WinRate=95.00%
Episode 11200: Reward=22.45, Length=7, Bosses=2, WinRate=99.00%
Episode 11400: Reward=33.30, Length=15, Bosses=2, WinRate=97.00%
Episode 11600: Reward=87.82, Length=31, Bosses=3, WinRate=95.00%
